host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,amenities,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
within a day,98.0,0.0,f,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""TV with standard cable"", ""First aid kit"", ""Pets allowed"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Private hot tub"", ""Heating"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Kitchen""]",140.0,t,f,2.0,9.0,3.0,2.0,4,3.0,30.0,180,30.0,180.0,8,38,62,62,0.0,0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,1,2.1
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire villa,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""Hammock"", ""Microwave"", ""Books and reading material"", ""Rice maker"", ""Outdoor furniture"", ""Wifi"", ""Blender"", ""Clothing storage"", ""Indoor fireplace"", ""Drying rack for clothing"", ""Stove"", ""First aid kit"", ""Body soap"", ""Coffee maker"", ""Ethernet connection"", ""Gym"", ""Bidet"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Fire pit"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Washer"", ""Board games"", ""Wine glasses"", ""Sound system"", ""Backyard"", ""Dining table"", ""Host greets you"", ""Oven"", ""Iron"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Smoke alarm"", ""Exercise equipment"", ""Cooking basics"", ""Hot tub"", ""Air conditioning"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",1275.0,t,f,2.0,2.0,9.0,1.6,5,2.3,7.0,120,7.0,120.0,23,53,83,358,0.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0.01
within a day,98.0,1.0,f,"['email', 'phone']",t,f,Entire home,Entire home/apt,"[""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""TV with standard cable"", ""Lockbox"", ""Coffee maker"", ""Long term stays allowed"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Washer"", ""Backyard"", ""Iron"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",165.0,t,f,1.0,1.0,8.0,2.5,4,4.0,30.0,1125,30.0,1125.0,30,60,90,345,2.0,0,4.8,4.86,4.9,4.88,4.83,4.81,4.72,1,1.43
within an hour,100.0,0.95,f,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Stove"", ""First aid kit"", ""TV"", ""Coffee maker"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishwasher"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Dedicated workspace"", ""Single level home"", ""Heating"", ""Free washer \u2013 In unit"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Hot water"", ""Pocket wifi"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shampoo"", ""Kitchen"", ""Ethernet connection""]",250.0,t,f,1.0,2.0,2.0,2.0,2,2.0,30.0,1125,30.0,1125.0,27,57,87,362,0.0,0,4.93,5.0,5.0,5.0,5.0,4.85,4.92,1,0.13
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire guesthouse,Entire home/apt,"[""Coffee maker: Keurig coffee machine"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Microwave"", ""Wifi"", ""Dryer \u2013\u00a0In unit"", ""First aid kit"", ""Body soap"", ""TV"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Window AC unit"", ""Self check-in"", ""Shower gel"", ""Dishes and silverware"", ""Heating"", ""Free parking on premises \u2013 1 space"", ""Baby safety gates"", ""EV charger - level 2"", ""Iron"", ""Mini fridge"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Shampoo""]",154.0,t,f,1.0,1.0,4.0,1.0,1,3.0,2.0,1125,2.0,1125.0,27,57,87,355,28.0,0,4.91,4.94,4.84,4.98,4.97,4.99,4.82,1,3.35
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Wifi"", ""Lockbox"", ""TV"", ""Coffee maker"", ""Fire extinguisher"", ""Hair dryer"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo""]",88.0,t,t,2.0,2.0,3.0,1.0,1,2.0,3.0,99,3.0,99.0,15,37,67,67,34.0,2,4.86,4.94,4.85,4.96,4.93,4.97,4.83,2,3.56
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire guesthouse,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""56 inch HDTV with Roku"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Blender"", ""Mountain view"", ""Drying rack for clothing"", ""First aid kit"", ""Body soap"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Smart lock"", ""Whirlpool electric stove"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Clothing storage: closet"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Fast wifi \u2013 230 Mbps"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",96.0,t,t,4.0,11.0,4.0,1.0,1,1.0,2.0,35,9.1,1125.0,30,32,32,36,3.0,0,4.84,4.94,4.87,4.97,4.97,4.88,4.78,2,0.28
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Stove"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""High chair"", ""BBQ grill"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Heating"", ""Baking sheet"", ""Washer"", ""Backyard"", ""Oven"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",899.0,t,t,3.0,3.0,4.0,1.5,2,3.0,3.0,180,3.0,180.0,0,0,0,50,2.0,0,4.92,4.88,4.92,4.95,4.98,4.98,4.69,1,0.58
within a few hours,100.0,0.75,f,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Shampoo"", ""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Blender"", ""Mountain view"", ""Stove"", ""First aid kit"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""EV charger"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker: drip coffee maker"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Washer"", ""Baby safety gates"", ""Wine glasses"", ""Backyard"", ""Dining table"", ""Oven"", ""Iron"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""43 inch HDTV"", ""Kitchen"", ""Room-darkening shades""]",199.0,t,f,1.0,1.0,6.0,2.5,3,3.0,30.0,1125,30.0,1125.0,24,54,84,290,1.0,0,4.94,4.98,4.9,4.99,4.99,4.92,4.93,1,1.45
within an hour,100.0,1.0,f,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Children\u2019s dinnerware"", ""Radiant heating"", ""Refrigerator"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Hangers"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""Hammock"", ""Microwave"", ""Books and reading material"", ""Outdoor furniture"", ""Private sauna"", ""Everyone Soap body soap"", ""Wifi"", ""Blender"", ""Mountain view"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Piano"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""High chair"", ""Fire extinguisher"", ""Keypad"", ""Outlet covers"", ""Hair dryer"", ""Bed linens"", ""Barbecue utensils"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Portable air conditioning"", ""Window AC unit"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Fire pit"", ""BBQ grill: charcoal, gas"", ""Baking sheet"", ""Single level home"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Gas stove"", ""Board games"", ""Baby safety gates"", ""Kitchen"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shampoo"", ""TV with standard cable"", ""Ethernet connection""]",222.0,t,t,3.0,3.0,8.0,2.0,4,2.3,2.0,31,3.3,1125.0,17,26,44,245,25.0,2,4.98,4.97,4.99,4.99,5.0,4.98,4.89,2,1.92
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""TV with standard cable"", ""Indoor fireplace"", ""Stove"", ""Pets allowed"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Backyard"", ""Oven"", ""Iron"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",165.0,t,t,1.0,1.0,4.0,1.0,1,2.0,3.0,1125,3.0,1125.0,16,27,57,295,26.0,1,4.92,4.95,4.94,4.98,4.96,4.98,4.89,1,2.06
within an hour,100.0,1.0,f,"['email', 'phone']",t,t,Entire condo,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Stainless steel oven"", ""Microwave"", ""Outdoor furniture"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Wifi"", ""First aid kit"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Hot water kettle"", ""Essentials"", ""Free residential garage on premises"", ""Stainless steel gas stove"", ""Self check-in"", ""65 inch HDTV with standard cable"", ""Indoor fireplace: gas"", ""Freezer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Dishwasher"", ""Toaster"", ""Elevator"", ""Park view"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Single level home"", ""Board games"", ""Wine glasses"", ""Dining table"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",290.0,t,f,1.0,1.0,5.0,2.0,2,2.3,3.0,1125,3.0,1125.0,25,33,61,194,7.0,1,4.98,4.94,4.96,4.91,4.91,5.0,4.81,1,0.59
